,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
0,Jalen Adams,ERI,14,29.1,16.1,5.8,12.1,0.479,2.4,6.1,0.4,1.4,1.6,0.909,0.7,4.1,4.8,4.1,1.2,0.4,2.9,2.1,0.632,0.58,178.8,2.7,14.0,8.7,20.9,18.7,2.0,1.3,23.5,-0.6,1.3,107.8,109.3,-1.4,168.8,17.7,0.23600000000000002,1.4,0.4,0.1,10,4,0.7140000000000001,0.3,0.5,0.8
1,Ty-Shon Alexander,CLE,15,23.7,9.3,2.9,7.3,0.40399999999999997,2.1,5.3,0.38799999999999996,0.9,1.0,0.867,0.3,2.6,2.9,1.9,0.5,0.1,1.1,0.7,0.606,0.546,165.8,1.5,11.8,6.6,11.8,12.2,1.1,0.2,16.5,1.0,1.3,109.4,119.2,-9.8,103.4,12.4,0.124,1.8,0.5,0.1,5,10,0.33299999999999996,0.3,0.0,0.3
2,Dakarai Allen,SLC,9,20.2,5.1,1.9,4.3,0.436,0.6,1.7,0.33299999999999996,0.6,0.8,0.7140000000000001,0.4,1.2,1.7,0.9,0.8,0.6,1.6,2.7,0.547,0.5,148.4,2.3,6.9,4.5,6.7,25.0,2.0,2.6,14.0,-5.0,1.2,84.7,110.3,-25.6,20.4,6.5,0.076,0.6,0.5,0.2,2,7,0.222,-0.3,0.2,-0.1
3,Sacar Anim,ACC,11,11.1,3.3,1.5,3.5,0.41,0.4,1.6,0.222,0.0,0.1,0.0,0.3,0.6,0.9,0.6,0.5,0.1,0.6,0.8,0.456,0.462,63.2,2.5,6.1,4.3,8.9,15.1,2.0,0.7,16.4,-1.9,0.9,88.0,112.2,-24.3,16.1,7.3,0.055999999999999994,1.0,0.7,0.0,4,7,0.364,-0.2,0.1,-0.1
4,Brandon Ashley,IGN,15,20.3,10.9,4.5,8.2,0.5529999999999999,0.5,1.6,0.292,0.7,1.1,0.647,2.5,2.9,5.5,1.5,0.9,0.5,1.6,3.2,0.628,0.581,149.2,14.0,15.1,14.6,11.6,15.5,2.1,2.1,21.8,-3.1,1.3,111.6,110.2,1.4,130.4,20.2,0.14800000000000002,0.9,0.5,0.1,8,7,0.5329999999999999,0.4,0.3,0.7
5,J.J. Avila,ACC,13,15.9,3.1,1.0,2.2,0.44799999999999995,0.2,0.7,0.33299999999999996,0.5,0.5,0.857,0.8,2.2,3.1,1.8,1.2,0.1,1.2,2.0,0.623,0.5,163.9,5.4,14.9,10.0,15.0,33.3,3.6,0.4,10.0,-0.3,1.4,98.3,108.0,-9.7,58.4,10.9,0.07200000000000001,1.4,0.9,0.2,4,9,0.308,-0.1,0.3,0.2
6,Canyon Barry,IWA,14,26.8,12.9,4.2,8.9,0.47600000000000003,2.0,4.8,0.418,1.5,1.5,1.0,0.8,2.6,3.4,2.1,0.5,0.1,1.4,2.1,0.675,0.589,189.4,3.2,9.9,6.7,12.1,13.1,0.9,0.2,17.8,-0.2,1.5,116.1,116.6,-0.5,119.9,14.6,0.163,1.5,0.4,0.2,2,12,0.14300000000000002,0.5,0.1,0.7
7,Jordan Bell,ERI,7,27.4,17.6,7.7,9.6,0.8059999999999999,0.3,0.9,0.33299999999999996,1.1,1.6,0.727,3.4,5.9,9.3,3.3,1.3,2.0,3.4,3.0,0.856,0.821,186.7,14.1,21.5,18.1,19.6,25.0,2.3,6.3,21.6,-4.5,1.8,128.3,99.0,29.3,134.9,31.2,0.257,1.0,0.4,0.2,6,1,0.857,0.6,0.5,1.1
8,Malik Benlevi,SLC,11,19.8,7.0,2.7,5.9,0.462,1.3,3.7,0.341,0.3,0.5,0.6,0.9,2.5,3.4,1.0,0.5,0.3,0.5,2.8,0.573,0.569,140.3,4.7,14.4,9.2,8.3,8.2,1.4,1.3,15.5,0.6,1.2,113.6,112.3,1.3,55.1,13.7,0.10400000000000001,1.8,1.0,0.1,3,8,0.273,0.2,0.2,0.4
9,Tyler Bey,SLC,13,26.9,15.1,5.5,11.2,0.493,1.0,3.1,0.325,2.1,2.7,0.7709999999999999,2.7,6.5,9.2,0.8,0.8,0.6,1.8,2.4,0.607,0.5379999999999999,159.0,10.3,27.7,18.5,5.5,12.5,1.6,2.2,23.9,-4.7,1.3,108.4,106.0,2.4,163.6,20.8,0.17,0.5,0.5,0.2,5,8,0.385,0.3,0.6,0.9
10,Antonio Blakeney,CLE,15,26.6,15.1,5.9,13.1,0.452,1.1,5.0,0.213,1.3,1.6,0.792,0.8,3.5,4.3,2.1,0.9,0.3,2.6,1.5,0.544,0.49200000000000005,145.7,3.2,14.3,8.7,13.5,15.8,1.6,0.9,27.7,-4.6,1.1,93.2,116.7,-23.5,120.0,13.7,0.205,0.8,0.3,0.1,5,10,0.33299999999999996,-0.5,0.1,-0.4
11,Trevon Bluiett,SLC,15,22.5,8.0,2.5,9.1,0.27699999999999997,1.7,6.0,0.289,0.8,1.1,0.75,0.6,2.8,3.4,1.5,0.3,0.0,1.1,1.5,0.41700000000000004,0.37200000000000005,131.6,2.7,14.2,8.1,10.4,10.6,0.8,0.0,21.7,-0.7,0.9,81.4,113.9,-32.5,50.8,5.2,0.11199999999999999,1.3,0.3,0.1,4,11,0.267,-0.9,0.2,-0.6
12,Bennie Boatwright,MHU,15,24.1,12.7,4.3,10.7,0.4,2.8,7.5,0.375,0.7,1.1,0.647,1.2,5.4,6.6,1.1,0.5,0.1,1.3,1.9,0.57,0.531,142.2,4.7,23.6,13.6,7.1,10.2,0.9,0.3,21.5,-2.1,1.2,104.4,108.7,-4.4,134.9,14.3,0.134,0.9,0.4,0.1,6,9,0.4,0.1,0.5,0.6
13,Marques Bolden,CLE,10,23.9,9.2,3.6,7.1,0.507,0.0,0.1,0.0,1.3,1.5,0.867,2.6,4.9,7.5,1.0,0.0,2.2,1.5,1.3,0.593,0.507,137.4,11.6,22.8,17.1,6.3,16.2,0.0,8.1,17.5,-3.7,1.3,108.5,113.3,-4.8,106.4,18.2,0.11699999999999999,0.7,0.0,0.2,3,7,0.3,0.2,0.2,0.3
14,Jordan Bone,DEL,15,24.8,11.5,4.1,10.9,0.38,1.7,5.1,0.33799999999999997,0.9,1.0,0.867,0.4,2.7,3.1,3.8,1.7,0.0,1.5,0.9,0.507,0.46,158.5,1.6,12.2,6.6,21.8,11.9,3.3,0.0,21.6,3.9,1.1,101.0,107.5,-6.5,133.9,14.4,0.19,2.5,1.1,0.1,10,5,0.667,0.0,0.5,0.5
15,Phil Booth,OKL,6,19.2,8.7,3.0,7.8,0.38299999999999995,2.0,5.7,0.353,0.3,0.3,1.0,0.3,2.0,2.3,2.2,0.3,0.0,0.2,1.3,0.5429999999999999,0.511,173.6,1.7,10.1,6.0,16.6,2.0,0.8,0.0,17.8,6.6,1.1,119.5,117.9,1.6,37.0,13.8,0.127,13.0,2.0,0.0,1,5,0.16699999999999998,0.2,0.0,0.2
16,Jordan Bowden,LIN,14,20.6,7.8,2.9,6.7,0.436,1.5,4.1,0.36200000000000004,0.2,0.4,0.5,0.4,2.6,3.0,1.2,0.7,0.2,0.6,1.9,0.564,0.5479999999999999,129.8,2.3,13.5,8.0,9.1,7.6,1.7,1.0,16.2,1.2,1.2,107.5,115.5,-8.0,78.3,12.5,0.109,2.1,1.3,0.1,7,7,0.5,0.1,0.1,0.3
17,Brian Bowen II,FWN,15,34.2,11.9,4.2,11.5,0.366,1.5,5.1,0.303,1.3,1.7,0.8,1.4,6.1,7.5,2.7,1.0,0.4,1.8,2.3,0.489,0.433,146.9,3.8,18.1,10.7,11.1,12.9,1.4,1.0,16.8,0.1,1.0,96.6,108.1,-11.6,148.6,10.3,0.17,1.5,0.6,0.1,6,9,0.4,-0.3,0.7,0.4
18,Ky Bowman,ACC,6,23.2,9.0,3.3,9.3,0.35700000000000004,0.8,3.3,0.25,0.7,0.8,0.8,0.5,2.5,3.0,2.3,1.0,0.3,1.8,3.3,0.46399999999999997,0.402,140.7,2.2,11.0,6.6,15.4,15.9,2.1,1.3,21.2,-1.2,1.0,86.1,106.0,-19.9,25.4,7.7,0.14800000000000002,1.3,0.5,0.1,3,3,0.5,-0.3,0.2,0.0
19,Ignas Brazdeikis,WES,12,34.1,20.8,7.9,16.9,0.46799999999999997,1.5,5.8,0.257,2.3,2.9,0.8,2.7,7.2,9.8,3.6,0.8,0.3,2.6,1.9,0.5720000000000001,0.512,152.5,7.9,23.0,15.1,16.4,12.4,1.2,0.6,26.3,-0.6,1.2,108.8,117.2,-8.4,194.6,19.7,0.273,1.4,0.3,0.2,6,6,0.5,0.4,0.1,0.6
